program_name,q,a
전세보증금반환보증 보증료 지원 FAQ,소득이 없어 소득금액증명이 발급되지 않는 경우에는 어떻게 하나요?,사실증명(신고사실없음)'을 발급받아 제출하면 무소득인 것으로 간주합니다.
전세보증금반환보증 보증료 지원 FAQ,"전년도 소득금액증명은 7.1.부터 발급이 가능한데, 발급되지 않는 기간 중 소득자료는 어떤 자료를 제출하나요?",소득금액증명은 7.1. 기준으로 발급됨에 따라 1.1.~6.30.까지 신청하는 경우에는 전전년도 소득금액증명을 제출합니다.
전세보증금반환보증 보증료 지원 FAQ,보증료를 납부한 증빙서류(영수증 등)를 반드시 제출하여야 하나요?,"주택도시보증공사(HUG)와 서울보증보험(SGI)의 경우 보증증서에 납입한 보증료가 기재되어 있으므로 영수증은 별도 제출하지 않아도 됩니다. 다만, 한국주택금융공사(HF)의 경우 보증증서에 납입한 보증료가 기재되지 않으므로 영수증을 별도로 제출하셔야 합니다."
전세보증금반환보증 보증료 지원 FAQ,발급 받은지 오래된 서류도 제출이 가능한가요?,자격검증을 위한 서류는 신청일 기준 1개월 이내에 발급하신 서류로 제출하여 주시기 바랍니다.
전세보증금반환보증 보증료 지원 FAQ,접수 이후 절차와 기간은 어떻게 되나요?,"접수 → 심사 → 통지 → 지원금 지급 순으로 진행됩니다. 접수 후 통지까지는 30일 이내이나 기간 연장이 필요한 경우 신청인에게 통지 후 15일까지 연장할 수 있습니다.(최대 45일) 또한 통지 후 15일 이내 신청인의 계좌에 지원금을 지급합니다. 다만, 접수는 서류를 완벽히 제출한 경우를 기준으로 하므로 서류미흡으로 보완이 필요한 경우, 시일이 더 걸릴 수 있으므로 반드시 신청 전 제출할 서류를 확인하여 주시기 바랍니다."
전세보증금반환보증 보증료 지원 FAQ,자격심사 이후 결과는 어떻게 알 수 있나요?,"신청 당시 신청인이 선택한 통지방법(서면, 전자우편, 문자메시지 등)에 따라 접수 이후 30일(연장시 45일) 이내 심사 결과(적합 또는 부적합)를 통지합니다."
전세보증금반환보증 보증료 지원 FAQ,"현재 주거지와 보증보험 물건이 다른 경우는 어떻게 하나요? (예를 들어 '23.2.1. 서울시에 거주하며 보증보험에 가입하였으나, '23.9.5 경기도로 이사를 하고 아직 보증보험에 가입하지 않은 경우, 서울에서 가입한 보증보험 물건으로 지원을 받을 수 있는지?)","만약 신청인이 현재 거주중인 경기도에서 다시 보증보험에 가입한 경우라면 경기도에 대한 지원금 신청은 가능하지만, 이전에 거주하였던 서울시에서 발급받은 보증보험은 경기도에서 지원이 불가능합니다."
전세보증금반환보증 보증료 지원 FAQ,연소득 확인은 어떻게 하나요?,"신청이 제출한 소득금액증명의 소득금액 합계로 확인합니다. 종합소득세 신고대상자와 연말정산 대상자로 구분하여 확인하되, 아래와 같이 근로소득은 수입금액으로 그 외 소득은 소득금액으로 확인합니다. 만약 종합소득세 신고대상자로서 근로소득과 사업소득이 동시에 발생하는 사람의 경우에는 근로소득(수입금액)과 사업소득(소득금액)의 합계로 판단합니다. 발급번호 소득금액증명 ( 년 귀속) 처리기간 즉시 주소 성명 주민등록번호 ◇ 종합소득세 신고(결정·경정) 현황 (단위 : 원) 구분 이자 배당 사업 근로 연금 기타 합계 종합과세 분리과세 총 결정세액 수입금액 소득금액 * 종합과세 소득금액은 이월결손금을 공제하지 않은 금액임 * 분리과세 : 종합소득세 신고(결정·경정)한 분리과세 소득(2천만원이하 주택임대소득과 계약금이 위약금 배상금으로 대체된 기타소득)의 수입금액 및 소득금액의 합계액 * 총 결정세액 : 종합과세와 분리과세의 결정세액 합계액 ◇ 연말정산(지급명세서 제출) 현황 [*종합소득세 신고(결정·경정) 현황에서 종합과세된 소득이 있는 경우 미기재] (단위 : 원) 구분 법인명(상호) 사업자등록번호 소득발생처 지급받은 총액 소득금액 총 결정세액 비고 사업소득 근로소득 연금소득 종교인소득 (납세자가 신청한 증명 귀속연도 : . ~ .) 위와 같이 증명합니다. ※ 위 내용은 발급일 현재 상황으로서 추후 변경될 수 있습니다. 년 월 일 세무서장(인) (연말정산) (일용근로)"
전세보증금반환보증 보증료 지원 FAQ,"한번 보증료 지원을 받은 경우, 다음번에도 지원이 가능한가요?","동일 지자체(기초지자체 기준)에 한하여는 2년간(일반적인 전세계약 기간) 신청이 제한됩니다. 만약 2023년도에 보증료를 지원받았다면 2025년도에 신청이 가능합니다. 다만, 다른 지자체로 이전하는 경우에는 제한없이 지원받을 수 있습니다."
전세보증금반환보증 보증료 지원 FAQ,서류 보완한 경우 신청일은 어떻게 되나요? (신혼부부 자격 등 고려시),"신청자격 판단시 신청일은 최초 신청한 날을 기준으로 합니다. 예를 들어, '24.6.1. 최초 신청하고, 서류 보완으로 최종 '24.6.20. 신청이 완료되었더라도 신청인의 자격은 '24.6.1. 기준으로 판단합니다. 다만, 심사결과 통지는 서류가 완비된 '24.6.20.을 기준으로 30일 이내 통지됩니다."
전세보증금반환보증 보증료 지원 FAQ,최초 심사시 부적합을 받아 이의제기한 경우 신청일은 어떻게 되나요? (신혼부부 자격 등 고려시),부적합 결정을 받아 30일 이내 이의제기한 경우에도 최초 신청의 연장으로 보아 자격 심사 기준은 최초 신청일을 기준으로 판단합니다.
,,
신혼부부 임차보증금 이자지원 사업,[서울시 대출추천서] 발급 절차,"① 은행에 방문하여 대출자격, 대출한도 확인 및 계약 체결 예정인 대상주택의 대출 가능여부 등 사전 상담
※ 대출한도에 대한 정확한 상담을 위해 임차주택에 대한 정보(주소 등)를 명확히 확인하여 은행에 방문하시기 바랍니다.
※ '25.11.20. 신규 대출 추천서 발급신청자부터 적용: 월세가 포함된 보증부 월세 계약(반전세)의 경우, 전월세 전환율을 적용하여 환산된 임차보증금이 7억원 이하인 경우에만 지원가능.(상세내용 공고문과 FAQ 8P 참고)
② 대출한도 감안하여 임대차계약 체결
③ 서울주거포털(housing.seoul.go.kr)에서 추천서 발급 신청 및 출력(서울시 발급 승인 후)
④ 대출신청(은행 지점 방문)"
신혼부부 임차보증금 이자지원 사업,대출신청 절차는 어떻게 되나요?,"① 은행에 방문하여 대출자격, 대출한도 확인 및 계약 체결 예정인 대상주택의 대출 가능여부 등 사전 상담
※ 대출한도에 대한 정확한 상담을 위해 임차주택에 대한 정보(주소 등)를 명확히 확인하여 은행에 방문하시기 바랍니다.
※ '25.11.20. 신규 대출 추천서 발급신청자부터 적용: 월세가 포함된 보증부 월세 계약(반전세)의 경우, 전월세 전환율을 적용하여 환산된 임차보증금이 7억원 이하인 경우에만 지원가능.(상세내용 공고문과 FAQ 8P 참고)
② 대출한도 감안하여 임대차계약 체결
③ 서울주거포털(housing.seoul.go.kr)에서 추천서 발급 신청 및 출력(서울시 발급 승인 후)
④ 대출신청(은행 지점 방문)"
신혼부부 임차보증금 이자지원 사업,대출추천서 신청은 어떻게 하나요?,"서울주거포털(http://housing.seoul.go.kr)에서 신청하신 후 서울시의 승인을 거쳐 추천서를 발급받으실 수 있습니다.
신청 후 마이페이지에서 작성완료 상태를 확인하고 심사완료 메시지를 받은 후, 승인된 추천서는 본인이 직접 출력하여 은행에 제출하셔야 합니다.
※ 추천서 승인거부 시에는 수정하여 보완 가능"
신혼부부 임차보증금 이자지원 사업,대출추천서를 배우자가 신청해도 되나요?,"임대차계약서 상의 계약자가 반드시 서울시 대출추천서 신청인이자 동시에 은행의 대출신청인이 되어야 합니다.
배우자 명의로 신청은 불가능합니다.
※FAQ 마지막 페이지 도표 참고"
신혼부부 임차보증금 이자지원 사업,대출추천서 신청인이 세대주가 아닌 경우?,"※FAQ 마지막 페이지 도표 참고
주민등록등본 상 세대주가 아닌 자를 세대주로 인정하는 요건으로는 세대주와 동일세대를 이루고 있는 세대원 중
1) 세대주의 배우자, 2) 직계존비속 및 그의 배우자,
3) 세대주 및 배우자의 형제자매, 4) 배우자의 직계존비속 및 그의 배우자에 해당되는 경우가 있습니다."
신혼부부 임차보증금 이자지원 사업,"예비신혼부부의 경우 현재 세대주가 아니라도 대출실행일(보증신청일)로부터 6개월 이내에 혼인관계증명서를 제출할 경우 세대주 요건을 충족한 것으로 인정 가능합니다. 해당 조건 외의 구성원으로 전입된 세대원(조카, 처조카 등의 기타친척 및 동거인)은 한국주택금융공사 보증규정 상 세대주로 인정되지 않으므로 신청 불가합니다.","예비신혼부부의 경우 현재 세대주가 아니라도 대출실행일(보증신청일)로부터 6개월 이내에 혼인관계증명서를 제출할 경우 세대주 요건을 충족한 것으로 인정 가능합니다.
해당 조건 외의 구성원으로 전입된 세대원(조카, 처조카 등의 기타친척 및 동거인)은 한국주택금융공사 보증규정 상 세대주로 인정되지 않으므로 신청 불가합니다."
신혼부부 임차보증금 이자지원 사업,대출추천서 발급신청은 언제 할 수 있나요?,대출추천서 발급은 임대차계약서상 잔금일(계약시작일) 기준 2개월 전부터 신청할 수 있습니다.
신혼부부 임차보증금 이자지원 사업,대출추천서 유효기간은?,"발급일로부터 2개월입니다.
2개월 이내 대출실행이 완료되어야 합니다."
신혼부부 임차보증금 이자지원 사업,추천서 발급 신청결과는 언제 알 수 있나요?,"추천서 발급신청 후 서울시 추천서류 검토 및 승인은 3일(근무일 기준) 내외입니다. 서울주거포털‘마이페이지’내 신혼부부 임차보증금 지원현황에서 신청확인, 수정, 신청취소, 추천서 출력을 하실 수 있습니다.
신청이 완료된 경우 지원현황에 작성완료로 표시되며, 서울시 심사완료 후에는 신청자 휴대전화로 SMS(카카오톡 알림톡)가 발송됩니다.
※ 신청완료 후 통신상태 불량, 모바일/PC에서 파일 업로드 중 오류 등으로 인해 파일 첨부가 누락되는 경우가 있으므로 서울주거포털-마이페이지-신혼부부 임차보증금 이자지원 신청내역(본인/배우자 성명 클릭)에서 파일 첨부가 올바르게 되었는지 반드시 확인하기 바랍니다.
※ 추천서 발급은 신청한 순서대로 진행되므로 신청 후 유선문의 등으로 빠른 심사를 요청하더라도 불가합니다."
신혼부부 임차보증금 이자지원 사업,심사결과가 '승인거부'가 나왔을 때는?,"신청 완료 후 심사 부적격 사유 발생 시(필요 서류 미첨부, 인적사항 및 물건지 정보 오기재 등)승인 거부 처리 됩니다.
심사 결과가 승인 거부일 시에는 마이페이지에서 수정 버튼을 누른 후 거부 사유를 보완하면 재심사요청이 됩니다.
재심사요청 시에도 심사는 재심사 요청 기준 일로부터 평일 기준 3일 내외가 소요되오니 시간적인 여유를 가지고 신청하시기 바랍니다."
신혼부부 임차보증금 이자지원 사업,[서울시 대출추천서 및 대출] 필요 서류,"< 모든 서류는 1개월 이내 발급분만 가능> ※열람용 불가
○ 주민등록등본(본인/배우자가 세대분리 등으로 주민등록이 따로 되어있는 경우 각각 첨부)
- 세대원/세대주 확인 가능한 페이지 첨부
- 주민등록 초본은 해당 안 됨
○ 가족관계증명서(본인/배우자 명의 각각 첨부)
- ‘특정’아닌‘일반’또는 ‘상세’발급분
○ 혼인관계증명서
- 미혼 상태임을 증빙하기 위해 예비신혼부부로 신청한 자도 첨부해야 하며, 예비신혼부부는 신청자 및 배우자 각 1부씩 첨부
- 추천서 신청 시 혼인신고일이 얼마 지나지 않아 증명서 발급이 되지 않는 신혼부부의 경우 접수증으로 가능
○ 주택임대차계약서
○ 계약금 납입 영수증(5% 이상 지급 필요)
- 갱신계약의 경우 구 임대차계약서 첨부
※ 혼인신고 직후, 가족관계등록부 등재 시까지 시간이 소요될 수 있으므로 혼인신고 후 신청하시려는 분들은 본인 및 배우자 명의의 가족관계증명서 각 1부를 미리 발급받으시길 바랍니다.
※ 대출신청 시 필요서류 : 붙임 공고문을 참고(은행문의)"
신혼부부 임차보증금 이자지원 사업,대출추천서 신청 시 필요서류는 무엇인지?,"< 모든 서류는 1개월 이내 발급분만 가능> ※열람용 불가
○ 주민등록등본(본인/배우자가 세대분리 등으로 주민등록이 따로 되어있는 경우 각각 첨부)
- 세대원/세대주 확인 가능한 페이지 첨부
- 주민등록 초본은 해당 안 됨
○ 가족관계증명서(본인/배우자 명의 각각 첨부)
- ‘특정’아닌‘일반’또는 ‘상세’발급분
○ 혼인관계증명서
- 미혼 상태임을 증빙하기 위해 예비신혼부부로 신청한 자도 첨부해야 하며, 예비신혼부부는 신청자 및 배우자 각 1부씩 첨부
- 추천서 신청 시 혼인신고일이 얼마 지나지 않아 증명서 발급이 되지 않는 신혼부부의 경우 접수증으로 가능
○ 주택임대차계약서
○ 계약금 납입 영수증(5% 이상 지급 필요)
- 갱신계약의 경우 구 임대차계약서 첨부
※ 혼인신고 직후, 가족관계등록부 등재 시까지 시간이 소요될 수 있으므로 혼인신고 후 신청하시려는 분들은 본인 및 배우자 명의의 가족관계증명서 각 1부를 미리 발급받으시길 바랍니다.
※ 대출신청 시 필요서류 : 붙임 공고문을 참고(은행문의)"
신혼부부 임차보증금 이자지원 사업,예비신혼부부는 어떤 서류로 입증해야 하나요?,"대출신청 시 6개월 이내 결혼식 예정을 증빙하는 자료를 대출은행에 제출하여야 하며, 대출실행 후 6개월 이내 혼인관계증명서를 대출은행에 제출하셔야 합니다. (혼인신고 접수증 인정불가)
주) 청첩장 또는 예식장 계약서를 첨부하되, 스몰웨딩을 진행하는 경우에는 청첩장 또는 장소대관(예약)확인서 첨부가능. 이때, 장소대관(예약)확인서가 없을 시 '서울주거포털' 공지사항 174번의 서식 활용가능
※ 혼인신고 후 서류 발급까지 상당기간이 소요되므로 반드시 제출 기한에 유의"
신혼부부 임차보증금 이자지원 사업,배우자가 외국인인 경우 필요한 서류는?,신청자와 주민등록등본에 함께 등재되어 있지 않은 외국인 배우자의 경우 외국인등록증 또는 국내거소 확인서류가 필요합니다.
신혼부부 임차보증금 이자지원 사업,재직기간이 짧아 원천징수영수증이 발급되지 않아요. 어떻게 하나요?,"회사에서 발급하는 갑근세 원천징수확인서 혹은 급여명세서를 제출하시면 됩니다.
재직기간이 12개월 미만인 경우, 연소득은 소득합산액/ 근무월수×12개월로 환산됩니다.
소득과 관련한 사항은 대출 은행에 문의하시기 바랍니다."
신혼부부 임차보증금 이자지원 사업,이직(또는 신규 입사)한지 한 달이 안 되었습니다. 신청이 가능한가요?,"불가능합니다.
근로소득자의 경우 건강보험자격득실확인서 상 직장가입자 자격 취득일을 기준으로, 1개월 이상 재직한 경우에만 추천서 신청이 가능합니다. 따라서 본인 또는 배우자가 직장가입 자라면, 최소 1개월 이상 재직 후 대출 신청이 가능합니다."
신혼부부 임차보증금 이자지원 사업,주민등록등본은 어디서 발급받나요?,"가까운 동주민센터 혹은 정부24에서 발급받으실 수 있습니다.
주민등록등본은 세대원, 세대주를 확인할 수 있는 페이지가 첨부되어야 합니다."
신혼부부 임차보증금 이자지원 사업,재직증명서는 별도의 양식이 있나요?,재직증명서는 재직 중인 직장의 양식으로 발급받으시면 됩니다.
신혼부부 임차보증금 이자지원 사업,가족관계증명서 혹은 혼인관계증명서는 어디서 발급받나요?,"가까운 동주민센터 혹은 대법원 전자가족관계 등록시스템에서 발급받으실 수 있습니다.
이때, 가족관계증명서는 ‘특정'으로 발급된 서류가 아닌, ‘일반’또는 ‘상세’로 발급받으셔야 합니다.
혼인신고 접수 전, 본인 및 배우자 명의 가족관계증명서 각 1부를 미리 발급받으시기 바랍니다.
※ 혼인신고를 하면 가족관계등록부 등재 시까지 일정 기간 동안 가족관계증명서 발급이 안 됨"
신혼부부 임차보증금 이자지원 사업,사업자등록증은 어디서 발급받나요?,가까운 세무서를 방문하시거나 국세청 홈택스를 통해 발급받으실 수 있습니다. 사업자등록증은 사업등록증명원으로 대체하실 수 있습니다.
신혼부부 임차보증금 이자지원 사업,임신한 경우 제출서류는 무엇인가요?,병원에서 발급하는 임신사실확인서(건강보험 임신·출산 진료비 지급 신청서)를 제출하시면 됩니다.
신혼부부 임차보증금 이자지원 사업,소득금액증명은 어디서 발급받나요?,가까운 세무서를 방문하시거나 국세청 홈택스를 통해 발급받으실 수 있습니다. 소득금액증명 또는 소득확인증명서(개인종합자산관리계좌 가입용)으로 발급받으시면 됩니다.
신혼부부 임차보증금 이자지원 사업,연금소득자는 소득금액을 어떻게 증명해야 하나요?,연금수령통장을 통해 소득금액을 확인합니다.
신혼부부 임차보증금 이자지원 사업,건강보험자격득실확인서는 어디서 발급받나요?,국민건강보험공단 홈페이지에서 건강보험자격득실확인서를 발급받으시면 됩니다.
신혼부부 임차보증금 이자지원 사업,계약금 지급영수증은 어떻게 받는 건가요?,"임대차 계약 시 지불한 계약금에 대한 영수증으로 임대인(집주인)이 발급해 주셔야 하며, 반드시 임대인의 도장 혹은 서명이 날인되어야 합니다.
계약금은 보증금의 최소 5% 이상 지급하셔야 합니다."
신혼부부 임차보증금 이자지원 사업,추천서에 기재된 내용과 은행 제출서류가 다를 경우 어떻게 되나요?,은행 제출서류가 지원조건에 부합되지 않으면 추천이 취소됩니다. 신청 시에 반드시 관련 서류를 미리 준비하시어 정확히 작성하시기 바랍니다.
신혼부부 임차보증금 이자지원 사업,[서울시 대출추천서 및 대출] 신청 자격 관련,"대출신청일 기준 예식일이 경과하지 않은 예비신혼부부는 은행에 대출신청(은행 담당자가 대출신청을 접수하고, 보증서를 발급 신청하는 기준) 완료 시점까지는 예비신혼부부 자격(혼인신고를 하지 않은 상태)을 유지하여야 합니다."
신혼부부 임차보증금 이자지원 사업,예비신혼부부 자격으로 서울시 대출추천서 발급 신청 후 예비신혼부부 자격 유지 기간은?,"대출신청일 기준 예식일이 경과하지 않은 예비신혼부부는 은행에 대출신청(은행 담당자가 대출신청을 접수하고, 보증서를 발급 신청하는 기준) 완료 시점까지는 예비신혼부부 자격(혼인신고를 하지 않은 상태)을 유지하여야 합니다."
신혼부부 임차보증금 이자지원 사업,부부합산 연소득은 어떻게 확인하나요?,"근로자의 경우 최근년도 근로소득원천징수영수증으로 확인하게 되며, 사업자의 경우 국세청에 신고한 소득금액 증명원을 은행에 제출하여 확인받게 됩니다.
소득이 없는 경우는 국세청에서 발급하는 신고사실없음 사실증명원을 첨부하시면 됩니다.
기타 소득관련 자세한 사항은 은행에 문의하시기 바랍니다."
신혼부부 임차보증금 이자지원 사업,타지역 거주자도 신청가능한가요?,"계약하신 임차물건이 서울시 관내에 위치한다면 신청 가능합니다. 단, 「주택임대차보호법」관련 대항력 취득을 위해 입주일(잔금일)에 즉시 전입신고를 하시고, 관련 서류를 대출 은행 요청에 따라 제출하셔야 합니다."
신혼부부 임차보증금 이자지원 사업,추천서 신청시 환산 임차보증금(전월세 전환율 반영)의 적용 기준 시점은?,"전월세 전환율 변동에 따른 환산 임차보증금은 추천서 작성완료일 기준(최종 제출 시점)으로 반영되며, 추천서 승인 거부 시 재작성 완료 시점 기준으로 반영됩니다."
신혼부부 임차보증금 이자지원 사업,부모님이 주택을 보유하신 경우 신청이 가능한가요?,"부모님이 주택을 보유 중이라도, 본인 및 배우자(예정자 포함)가 무주택이면 가능합니다."
신혼부부 임차보증금 이자지원 사업,배우자가 외국인이어도 신청이 가능한가요?,"신청 가능합니다.
외국인 배우자의 경우도 외국인 등록증을 지참하시어, 연소득과 무주택 여부 확인 후 대출신청이 가능합니다.
(외국인 배우자도 협약은행에 방문하셔야 합니다)"
신혼부부 임차보증금 이자지원 사업,재혼의 경우에도 대출이 가능한지? 연령제한은 없는지?,"재혼의 경우에도 신혼부부로 대출신청이 가능합니다.
단, 기존 배우자와 다시 결혼하는 경우에는 과거 결혼 기간을 합산하여 7년 이내인 경우에만 신혼부부로 대출 신청이 가능합니다(기존 배우자와 결혼 시 과거 혼인기간을 합산해야 하므로, 이혼 후 예비신혼부부로 신청 불가).
과거에 본인 및 배우자가 대출을 받은 경우도 대출이 불가합니다. 연령제한은 없습니다."
신혼부부 임차보증금 이자지원 사업,재혼한 배우자의 자녀로도 추가금리 지원을 받을 수 있나요?,"금리지원이 가능한 자녀 수는 대출 신청인(차주) 명의의 가족관계증명서에 나와 있는 법률상 자녀를 기준으로 인정하고 있습니다.
배우자의 자녀에 대한 정식 입양 절차를 거쳐 가족관계 증명서 상 대출신청인의 자녀로 되어있다면 추가금리 지원 등을 받을 수 있습니다.
※ 이때 금리지원이 가능한 자녀는 민법 상 미성년자인 만 19세 미만의 미성년자만 포함"
신혼부부 임차보증금 이자지원 사업,재외국민도 신청이 가능한가요?,"재외국민의 경우 보증규정 상 신청이 불가합니다.
주민등록이 되어있는 재외국민도 마찬가지입니다."
신혼부부 임차보증금 이자지원 사업,"대출기간 중 소득이 증가하거나,","대출기간까지는 이자지원이 되며, 대출기간 종료 후 기한연장 시, 지원조건에 부합되지 않으면(본인 및 배우자가 무주택자가 아닌 경우 등) 대출 및 이자지원은 중단됩니다."
신혼부부 임차보증금 이자지원 사업,주택을 구입할 경우 어떻게 되나요?,"무주택자가 아닌 경우 등) 대출 및 이자지원은 중단됩니다.
정부의 부동산 정책과 관련하여 구입한 주택의 조건에 따라 대출기간 중이라도 전세대출의 즉시 상환 대상이 될 수 있으므로, 주택구입 전 반드시 은행 사전상담을 하시기 바랍니다."
신혼부부 임차보증금 이자지원 사업,대출실행 후 처음부터 부부 모두가 전입해야 하나요?,"부부 모두가 전입신고를 하지 않아도 됩니다.
단, 임대차 계약자인 대출신청인은 입주일에 임차물건지로 반드시 주민등록 전입신고를 하셔야 합니다."
신혼부부 임차보증금 이자지원 사업,대출실행 후 타지역으로 전출해야 하는 경우는?,"임대차 계약자인 대출신청인은 해당 물건지에 주민등록을 계속 유지하여야 하며, 배우자는 주소를 이전해도 됩니다."
신혼부부 임차보증금 이자지원 사업,"입주권, 분양권이 있는 경우 등 주택을 보유한 경우, 신청이 가능한지?","본인 및 배우자(예정자 포함) 명의의 소유권보존(이전)등기 또는 잔금대출이 확인되는 분양권(입주권)은 주택보유수에 포함되어 신청이 불가합니다.
또한, 대출연장 시 주택보유 여부를 다시 확인하여 주택 보유가 확인되는 경우 연장이 불가할 수 있습니다.
구체적인 주택보유수 산정기준 등 관련 사항은 사전에 반드시 은행에 확인하여 주시기 바랍니다."
신혼부부 임차보증금 이자지원 사업,주택을 보유하고 있는 경우 신청 가능한 방법은?,"주택을 보유하고 있는 경우 원칙적으로 신청이 불가하며, 주택을 처분한 경우 신청이 가능합니다.
다만, 이 경우 대출실행 전까지는 소유권이전등기접수증을 제출해 주택처분사실을 입증하셔야 합니다.
이와 관련한 더 구체적인 사항은 반드시 대출은행에 상담해 주시기 바랍니다."
신혼부부 임차보증금 이자지원 사업,대출신청 조건이 결혼 7년 이내인데 기준이 무엇인가요?,"은행의 대출신청일*을 기준으로 혼인관계증명서에 명시된 혼인신고일로부터 7년 이내입니다.
* 대출신청일은 은행 담당자가 대출신청을 접수하고 보증서를 발급신청한 날을 의미하며, 증빙자료는 대출 신청 시 은행에 제출"
신혼부부 임차보증금 이자지원 사업,"서울시 청년 임차보증금 이자지원, 자녀출산 무주택 가구 주거비 지원 등을 받고 있는데, 신혼부부 임차보증금 대출을 추가로 받을 수 있나요?","추가대출은 불가하고, 기존 이용 중인 전세대출을 상환하는 조건으로 본 대출 취급이 가능합니다."
신혼부부 임차보증금 이자지원 사업,[주택 및 계약 관련],"※ '25.11.20. 신규 대출 추천서 발급 신청자부터 적용
월세가 포함된 보증부 월세 계약(반전세)의 경우, 전월세 전환율(서울시에서 6개월 주기로 공지)을 적용하여 환산된 임차보증금(이하 ‘환산 임차보증금*')이 7억원 이하인 경우에만 지원됩니다.
환산 임차보증금이 7억원을 초과할 경우, 대출추천서 발급 및 대출신청이 불가하오니 임대차계약 전 반드시 환산 임차보증금을 계산하시어 가능 여부를 확인하시기 바랍니다.
* 환산 임차보증금 = 월세보증금+(월세 × 12개월 ÷ 전월세 전환율)
※ 월세보증금 없이 월세만 있는 경우에는 지원불가"
